Virtual machine;Languages;Comments;Interpreter;JIT;Implementation language;SLoC;
Common Language Runtime (CLR);C#, C++/CLI, F#, VB.NET;bytecode is CIL; .NET Core Runtime on GitHub;{{no}};{{yes}};C#, C++;;
Adobe Flash Player (aka Tamarin);ActionScript, SWF (file format);interactive web authoring tool. bytecode is named "ActionScript Byte Code (.abc)";{{yes}};{{yes}};C++;135k (initially released);
Dis (Inferno);Limbo;Dis Virtual Machine Specification;{{yes}};{{yes}};C;15k + 2850 per JIT arch + 500 per host OS;
DotGNU-Portable.NET;CLI languages including: C#;Common Language Runtime clone;{{no}};{{yes}};C, C#;;
Forth;Forth;Features are simplified, usually include assembler, compiler, text-level and binary-level interpreters, sometimes editor, debugger and OS. Compiling speeds are >20 SKLOC/S and behave much like JIT.;{{yes}};{{no}};Forth, Forth Assembler;2.8K to 5.6K; advanced, professional implementations are smaller.;
Glulx;Inform 6, Inform 7, others;;{{yes}};{{no}};Various implementations exist;;
HHVM;PHP, Hack;Is an open-source virtual machine designed for executing programs written in Hack and PHP.;{{yes}};{{yes}};C++, OCaml;;
Icon;Icon;Base source code provides both the interpreter as well as an unsupported compile-to-C version. The runtime code, that is shared between the compiler and the interpreter, is written in a variant of C called RTT.;{{yes}};{{no}};C, RTT (a custom front-end to C, provided with the base source for Icon).;~180k total. (source to bytecode: ~11k, bytecode interpreter: ~46k, iconc: ~23k, common/headers: ~13k, rtt: ~15k);
JVM;Java, Kotlin, Jython, Groovy, JRuby, C, C++, Clojure, Scala and several others;Reference implementation by Sun ; OpenJDK: code under GPL ; IcedTea: code and tools under GPL;{{yes}};{{yes}};JDK, OpenJDK & IcedTea with regular JIT : Java, C, ASM ; IcedTea with the "Zero" JIT : Java, C;JVM is around 6500k lines; TCK is 80k tests and around 1000k lines;
LLVM;C, C++, Kotlin, Objective-C, Ada, Fortran, and Rust;MSIL, C and C++ output are supported. ActionScript Byte Code output is supported by Adobe Alchemy. bytecode is named "LLVM Bytecode (.bc)". assembly is named "LLVM Assembly Language (*.ll)".;{{yes}};{{yes}};C++;811k [4];
Lua;Lua;;{{yes}};LuaJIT;C;13k + 7k LuaJIT;
MMIX;MMIXAL;;;;;;
Mono;CLI languages including: C#, VB.NET, IronPython, IronRuby, and others;Common Language Runtime clone;{{yes}};{{yes}};C#, C;2332k;
Oz;Oz, Alice;;;;;;
NekoVM;currently Neko and Haxe;;{{yes}};x86 only;C;46k;
O-code machine;BCPL;;;;;;
p-code machine;Pascal;UCSD Pascal, widespread in late 70s including Apple II;;;;;
Parrot;Perl (6 & 5), NQP-rx, PIR, PASM, PBC, BASIC, bc, C99, ECMAScript, Lisp, Lua, m4, Tcl, WMLScript, XML, and others;;{{yes}};{{yes}};C, Perl;111k C, 240k Perl;
Perl virtual machine;Perl;op-code tree walker;{{yes}};{{no}};C, Perl;175k C, 9k Perl;
CPython;Python;;{{yes}};Psyco;C;387k C, 368k Python, 10k ASM, 31k Psyco;
PyPy;Python;Self-hosting implementation of Python, next generation of Psyco;{{yes}};{{yes}};Python;;
Rubinius;Ruby;Virtual machine for another Ruby implementation;{{yes}};{{yes}};C++, Ruby;;
Silverlight;C#, VB.NET;A Micro-version of Microsoft .NET Framework to let applications run sandboxed inside browser;{{yes}};{{yes}};C++;7MB (initially released);
ScummVM;Scumm;Computer game engine;;;;;
SECD;ISWIM, Lispkit Lisp;;;;;;
Squirrel;Squirrel;;{{yes}};Squirrel_JIT;C++;12k;
Smalltalk;Smalltalk;;;;;;
SQLite;SQLite opcodes;Virtual database engine;;;;;
Squeak;Squeak Smalltalk;Self hosting implementation of Squeak virtual machine. Rich multi-media support.;{{yes}};{{yes|Cog & Exupery}};Smalltalk/Slang;110k Smalltalk, ~300K C;
TraceMonkey;JavaScript;Based on Tamarin;{{no}};{{yes}};C++;173k;
TrueType;TrueType;Font rendering engine;{{yes}};{{no}};C (typically);;
Valgrind;x86/x86-64 binaries;Checking of memory accesses and leaks under Linux;;;C;467k [5];
VisualWorks;Smalltalk;;{{no}};{{yes}};C;;
Vx32 virtual machine;x86 binaries;Application-level virtualization for native code;{{no}};{{yes}};;;
Waba;;Virtual machine for small devices, similar to Java;;;;;
Yet Another Ruby VM (YARV);Ruby;Virtual machine of the reference implementation for Ruby 1.9 and newer versions;{{yes}};{{yes}};C;;
Z-machine;Z-Code;;;;;;
Zend Engine;PHP;;{{yes}};{{no}};C;75k;
