;String representation;Object copy;Value equality;Object comparison;Hash code;Object ID;
Human-readable;Source-compatible;
ABAP Objects;colspan=7 {{n/a}};
C++ (STL);;;;x == y[49];;;pointer to object can be converted into an integer ID;
C#;x.ToString();;x.Clone();x.Equals(y);x.CompareTo(y);x.GetHashCode();System<wbr/>.Runtime<wbr/>.CompilerServices<wbr/>.RuntimeHelpers<wbr/>.GetHashCode(x);
Java;x.toString();;x.clone()[50];x.equals(y);x.compareTo(y)[51];x.hashCode();System<wbr/>.identityHashCode<wbr/>(x);
JavaScript;x.toString();;;;;;;
D;x.toString() or std.conv<wbr/>.to!string<wbr/>(x);x.stringof;;x == y or x.opEquals(y);x.opCmp(y);x.toHash();;
eC;x.OnGetString(tempString, null, null) or PrintString(x);;y.OnCopy(x);;x.OnCompare(y);;object handle can be converted into an integer ID;
Objective-C (Cocoa);x.description;x.debugDescription;[x copy][52];[x isEqual:y];[x compare:y][53];x.hash;pointer to object can be converted into an integer ID;
Swift;x.description[54];x.debugDescription[55];;x == y[56];x < y[57];x.hashValue[58];reflect(x)<wbr/>.objectIdentifier!<wbr/>.uintValue();
Smalltalk;x displayString;x printString;x copy;x = y;;x hash;x identityHash;
Python;str(x)[59];repr(x)[60];copy.copy(x)[61];x == y[62];cmp(x, y)[63];hash(x)[64];id(x);
Visual Basic .NET;x.ToString();;x.Clone();x.Equals(y);x.CompareTo(y);x.GetHashCode();;
Eiffel;x.out;;x.twin;x.is_equal(y);When x is COMPARABLE, one can simply do x < y;When x is HASHABLE, one can use x.hash_code;When x is IDENTIFIED, one can use x.object_id;
PHP;$x->__toString();;clone x[65];x == y;;;spl_object_hash(x);
Perl;"$x"[66];Data::Dumper<wbr/>->Dump<wbr/>([$x],['x'])[67];Storable<wbr/>::dclone<wbr/>($x)[68];;;;Scalar<wbr/>::Util<wbr/>::refaddr<wbr/>( $x )[69];
Perl 6;~x[66];x.perl;x.clone;x eqv y;x cmp y;;x.WHICH;
Ruby;x.to_s;x.inspect;x.dup or x.clone;x == y or x.eql?(y);x <=>''' y</code>;x.hash;x.object_id;
Windows PowerShell;x.ToString();;x.Clone();x.Equals(y);x.CompareTo(y);x.GetHashCode();;
OCaml;;;Oo.copy x;x = y;;Hashtbl<wbr/>.hash x;Oo.id x;
F#;string x or x<wbr/>.ToString() or sprintf "%O" x;sprintf "%A" x;x.Clone();x = y or x<wbr/>.Equals(y);compare x y or x<wbr/>.CompareTo(y);hash x or x<wbr/>.GetHashCode();;
COBOL;colspan=7 {{n/a}};
