Name;Parsing algorithm;Output languages;Grammar, code;Development platform;License;
Arpeggio;PEG parser interpreter, Packrat;Python (no generation, interpreted);mixed;all;MIT;
AustenX;Packrat (modified);Java;separate;all;BSD;
Aurochs;Packrat;C, OCaml, Java;mixed;all;GNU GPL;
Canopy;Packrat;Java, JavaScript, Python, Ruby;separate;all;GNU GPL;
CL-peg;Packrat;Common Lisp;mixed;all;MIT;
Drat!;Packrat;D;mixed;all;GNU GPL;
Frisby;Packrat;Haskell;mixed;all;BSD;
grammar::peg;Packrat;Tcl;mixed;all;BSD;
Grako;Packrat + Cut + Left Recursion;Python / C++ (beta);separate;all;BSD;
IronMeta;Packrat;C#;mixed;Microsoft Windows;BSD;
Katahdin;Packrat (modified), mutating interpreter;C#;mixed;all;Public domain;
Laja;2-phase scannerless top-down backtracking + runtime support;Java;separate;all;GNU GPL;
lars::parser;Packrat (modified to support left-recursion and resolve grammar ambiguity);C++;identical;all;GNU GPL, commercial license available on request;
LPeg;Parsing Machine;Lua;mixed;all;MIT;
lug;Parsing Machine;C++17;mixed;all;MIT;
Mouse;Recursive descent;Java;separate;Java Virtual Machine;Apache License 2.0;
Narwhal;Packrat;C;mixed;POSIX, Microsoft Windows;BSD;
Nearley;Earley;JavaScript;mixed;all;MIT;
Nemerle.Peg;Recursive descent + Pratt;Nemerle;separate;all;BSD;
neotoma;Packrat;Erlang;separate;all;MIT;
NPEG;Recursive descent;C#;mixed;all;MIT;
OMeta;Packrat (modified, partial memoization);JavaScript, Squeak, Python;mixed;all;MIT;
PackCC;Packrat (modified);C;mixed;all;MIT;
Packrat;Packrat;Scheme;mixed;all;MIT;
Pappy;Packrat;Haskell;mixed;all;Proprietary;
parboiled;Recursive descent;Java, Scala;mixed;Java Virtual Machine;Apache License 2.0;
Lambda PEG;Recursive descent;Java;mixed;Java Virtual Machine;Apache License 2.0;
parsepp;Recursive descent;C++;mixed;all;Public domain;
Parsnip;Packrat;C++;mixed;Microsoft Windows;GNU GPL;
peg;Recursive descent;C;mixed;all;MIT;
PEG.js;Packrat (partial memoization);JavaScript;mixed;all;MIT;
peg-parser;PEG parser interpreter;Dylan;separate;all;;
Pegasus;Recursive descent / Packrat (selectively);C#;mixed;Microsoft Windows;MIT;
pegc;Recursive descent;C;mixed;all;Public domain;
pest;Recursive descent;Rust;separate;all;MPL;
PetitParser;Packrat;Smalltalk, Java, Dart;mixed;all;MIT;
PEGTL;Recursive descent;C++11;mixed;all;MIT;
PGE;Hybrid recursive descent / operator precedence[4];Parrot bytecode;mixed;Parrot virtual machine;Artistic 2.0;
PyPy rlib;Packrat;Python;mixed;all;MIT;
pyPEG;PEG parser interpreter, Packrat;Python;mixed;all;GNU GPL;
Rats!;Packrat;Java;mixed;Java Virtual Machine;GNU LGPL;
Spirit2;Recursive descent;C++;mixed;all;Boost;
textX;PEG parser interpreter, Packrat;Python (no generation, interpreted);separate;all;MIT;
Treetop;Recursive descent;Ruby;mixed;all;MIT;
Yard;Recursive descent;C++;mixed;all;MIT or Public domain;
Waxeye;Parsing Machine;C, Java, JavaScript, Python, Racket, Ruby;separate;all;MIT;
PHP PEG;? (PEG Parser?);PHP;mixed;all;BSD;
