Software;Implementation Language;Authentication;Encryption;Integrity;Global File System;Global File System + Kerberos;Heterogeneous/ Homogeneous exec node;Jobs priority;Group priority;Queue type;SMP aware;Max exec node;Max job submitted;CPU scavenging;Parallel job;Job checkpointing;
Enduro/X;C/C++;OS Authentication;GPG, AES-128, SHA1;None;Any cluster Posix FS (gfs, gpfs, ocfs, etc.);Any cluster Posix FS (gfs, gpfs, ocfs, etc.);Heterogeneous;OS Nice level;OS Nice level;SOA Queues, FIFO;Yes;OS Limits;OS Limits;Yes;Yes;No;
HTCondor;C++;GSI, SSL, Kerberos, Password, File System, Remote File System, Windows, Claim To Be, Anonymous;None, Triple DES, BLOWFISH;None, MD5;None, NFS, AFS;Not official, hack with ACL and NFS4;Heterogeneous;Yes;Yes;Fair-share with some programmability;basic (hard separation into different node);tested ~10000?;tested ~100000?;Yes;MPI, OpenMP, PVM;Yes;
PBS Pro;C/Python;OS Authentication, Munge;;;Any, e.g., NFS, Lustre, GPFS, AFS;Limited availability;Heterogeneous;Yes;Yes;Fully configurable;Yes;tested ~50,000;Millions;Yes;MPI, OpenMP;Yes;
OpenLava;C/C++;OS authentication;None;;NFS;;Heterogeneous Linux;Yes;Yes;Configurable;Yes;;;Yes, supports preemption based on priority;Yes;Yes;
Platform LSF;;;;;;;;;;;yes;;;Yes to start jobs. Did it suspend job when the person come back?;Yes;;
Slurm;C;Munge, None, Kerberos;;;;;Heterogeneous;Yes;Yes;Multifactor Fair-share;yes;tested 120k;tested 100k;No;Yes;Yes;
Torque;C;SSH, munge;;;None, any;;Heterogeneous;Yes;Yes;Programmable;Yes;tested;tested;Yes;Yes;Yes;
Univa Grid Engine;C;OS Authentication/Kerberos/Oauth2;Certificate Based;Integrity;Arbitrary, e.g. NFS, Lustre, HDFS, AFS;AFS;Fully heterogeneous;Yes; automatically policy controlled (e.g. fair-share, deadline, resource dependent) or manual;Yes; can be dependent on user groups as well as projects and is governed by policies;Batch, interactive, checkpointing, parallel and combinations;Yes, with core binding, GPU and Intel Xeon Phi support;commercial deployments with many tens of thousands hosts;>300K tested in commercial deployments;Yes; can suspend job on interactive usage;Yes, with support of arbitrary parallel environments such as OpenMPI, MPICH 1/2, MVAPICH 1/2, LAM, etc.;Yes, with support for user, kernel or library level checkpointing environments;
Software;Implementation Language;Authentication;Encryption;Integrity;Global File System;Global File System + Kerberos;Heterogeneous/ Homogeneous exec node;Jobs priority;Group priority;Queue type;SMP aware;Max exec node;Max job submitted;CPU scavenging;Parallel job;Job checkpointing;
