Feature;Android;iOS;Windows 10 Mobile;BlackBerry 10;Tizen;Sailfish OS;Ubuntu Touch;
Company;Google, Open Handset Alliance;Apple Inc.;Microsoft;BlackBerry Ltd.;Linux Foundation, Tizen Association, Samsung, Intel;Sailfish Alliance, Mer, Jolla and Sailfish community contributors;UBports and Ubuntu community contributors (previously Canonical Ltd.);
Market share[1];86.2%;13.7%;0.1%;N/A;N/A;N/A;N/A;
Current version;9.0;12.1.1;10.0.15254.490;10.3.3.3216;3.0;3.0.0.8;16.04 OTA-6;
Development version;N/A;N/A;N/A;N/A;5.0 M1;N/A;17.04;
Current version release dates;{{Start date and age|2018|8|6}};{{Start date and age|2018|12|5}}[2];{{Start date and age|2018|7|10}}[3][4][5];{{Start date and age|2016|12|12}};{{Start date and age|2017|5|20}};{{Start date and age|2018|11|8}}[6];{{Start date and age|2018|12|07}}[7];
License;Free and open-source, but usually bundled with proprietary apps and drivers[8][9];Proprietary except for open source components;Proprietary, Commercial software;Proprietary;Free and open-source, but the SDK is proprietary and closed source;Free and open-source, but the UI is proprietary and closed source;Free and open-source, mainly the GPL;
OS family;Linux;Darwin;Microsoft Windows;QNX;Linux;Linux;Linux;
Supported CPU architecture;ARM (32-bit ARMv7-A and 64-bit ARMv8-A only), x86, x86-64[10];64-bit ARMv8-A;32-bit ARMv7-A and 32-bit ARMv8-A;ARM;ARM, x86, x86-64;ARM, x86-64;ARM, x86-64;
Programmed in;C, C++, Java, Kotlin;C, C++, Objective-C, Swift;7+: XNA (.NET C#), Silverlight, native C/C++ (only for vendors and partners[11]) 8+: .NET C#, VB.NET, Silverlight, native C/C++, WinRTP (XMLA), DirectX;C/ C++: Native SDK, C++/Qt: Cascades SDK, HTML5/Javascript/CSS: Webworks SDK, ActionScript: Adobe AIR, Java: Android runtime;C++;C++, QML, Python;Apps: HTML5, QML, Go, JavaScript, C++ System: C, C++, QML;
Public issues list;{{Yes}}[12];{{No2}} 3rd party[13];{{No}}[14];{{Yes}}[15];{{Yes}}[16];{{Yes}}[17];{{Yes}}[18];
DRM-free[19];{{No}}[20] since Android 4.1[21] and Android 4.3[22] and more restrictions on Android 4.4[23];{{No}} - FairPlay;{{No}};{{No}}[24];{{Yes}};{{Yes}};{{Yes}};
Device independent system updates;{{Okay|Partial system updates since Oreo}}[25] 3rd party software like LineageOS[26];{{Yes}}[27];{{No2}}Only for developers;{{No}};{{No}};{{Yes}};{{Yes}}[28];
Wireless system updates;{{Yes}};{{Yes|5+}}[29];{{Yes|8+}}[30];{{Yes}}[31];{{No}};{{Yes}};{{Yes}};
GPU accelerated GUI;{{Yes|3+}}[32];{{Yes}};{{Yes}}[33];{{Yes}}, OS 7.0+;?;{{Yes}};{{Yes}};
Feature;Android;iOS;Windows 10 Mobile;BlackBerry 10;Tizen;Sailfish OS;Ubuntu Touch;
