Feature;Android;iOS;Windows 10 Mobile;BlackBerry 10;Tizen;Sailfish OS;Ubuntu Touch;
cut, copy, and paste;Yes[126];3+[127];Yes[128];Yes;Yes[129];Yes;Yes;
Multi-Device clipboard;No;10+[130];No, 3rd party software[131];No;No;No;No;
undo;No[132];3+[133];Optional for developers, UWP API have this feature[134][135];No;No;No[136];Yes;
Custom home and lock screen wallpaper;Yes;4+[74];Yes;Yes;Yes;Yes (incl. Ambience);Yes;
Desktop sync;No,[137] but available using the vendor's companion/PC suite application such as Samsung Smart Switch & HTC Sense[138];Yes;Yes;Yes;Yes;?;Yes;
Local full backup;Limited backup for 4.0+ with ADB using external computer. Possible with 3rd party apps with rooted phones or a custom recovery[139];Yes, using external computer[140];No, removed in WP8,[141] was available on WP7 in Zune only when performing update, or anytime via 3rd party software[142][143];Yes, using external computer[144] and memory card (7+)[145];No[146];Yes;Yes;
Core data missing sync;Bookmarks[147] (before 4), SMSs and Settings[148];;Favorites,[149] Text Messages[150] and Settings[151];?;?;?;?;
Notification center;Yes;5+[152];8.1+[93];6+[153];2+[154];Yes;Yes;
Push notifications;Yes[155];Yes (Apple Push Notification Service);Yes[156];Yes;2+[157];Yes;Yes;
Screenshot;4+ also available on earlier versions with customized firmware, such as Cyanogen Mod and on older Samsung Galaxy smartphones[158];Yes[74][159];8+[160];10+[161];Yes;2.0.2+[162];Yes;
iCalendar import;No,[163] but 3rd party app available[164];Yes[165];3rd party software (only import not subscribe)[166];Yes[167];?;1.1.6.27+[168];No;
Text/document support (read only; creating using third party apps);Microsoft Office, PDF, TXT/RTF;Microsoft Office,[169][170][171] iWork, PDF, Images, TXT/RTF, VCF;Microsoft Office 2003/2007, PDF, Images, TXT/RTF;Microsoft Office, PDF, OpenDocument, TXT;Read only: text files, PDF, HTML, Multiple office formats;Microsoft Office, OpenDocument, PDF, Text;Yes;
Printer support;4.4+ using Google Cloud Print[172] but not over USB unless proprietary vendor solutions such as HP Print Service are used[173];Yes (AirPrint)[174];10+[175];Yes;No;?;Beta;
Show remembered Wi-Fi connections;Yes;No, 3rd party software on jailbroken devices[176];Yes;Yes;?;Yes;Yes;
